requestId,type,recordId,verdict,timeout,submit_ms,e2e_ms
qual-f-60633-0,forged,102,2,0,13.96,37.40
qual-f-60633-1,forged,104,2,0,13.98,26.85
qual-f-60633-10,forged,113,2,0,13.91,24.50
qual-f-60633-11,forged,114,2,0,10.75,27.89
qual-f-60633-12,forged,115,2,0,12.23,22.62
qual-f-60633-13,forged,118,2,0,13.47,29.47
qual-f-60633-14,forged,116,2,0,12.00,34.03
qual-f-60633-15,forged,117,2,0,12.51,29.44
qual-f-60633-16,forged,119,2,0,13.61,29.61
qual-f-60633-17,forged,120,2,0,13.47,30.23
qual-f-60633-18,forged,121,2,0,13.32,24.12
qual-f-60633-19,forged,122,2,0,12.83,24.72
qual-f-60633-2,forged,105,2,0,12.54,26.27
qual-f-60633-20,forged,125,2,0,14.05,29.71
qual-f-60633-21,forged,124,2,0,18.28,46.79
qual-f-60633-22,forged,123,2,0,12.19,41.44
qual-f-60633-23,forged,126,2,0,15.58,40.11
qual-f-60633-24,forged,127,2,0,14.05,40.60
qual-f-60633-25,forged,128,2,0,14.23,40.31
qual-f-60633-26,forged,129,2,0,12.83,40.83
qual-f-60633-27,forged,130,2,0,15.48,40.04
qual-f-60633-28,forged,131,2,0,12.86,58.67
qual-f-60633-29,forged,132,2,0,12.62,58.43
qual-f-60633-3,forged,106,2,0,11.23,23.25
qual-f-60633-30,forged,133,2,0,13.68,49.63
qual-f-60633-31,forged,134,2,0,16.47,58.18
qual-f-60633-32,forged,135,2,0,14.65,45.41
qual-f-60633-33,forged,136,2,0,16.81,43.83
qual-f-60633-34,forged,137,2,0,14.39,44.23
qual-f-60633-35,forged,138,2,0,14.68,54.63
qual-f-60633-36,forged,139,2,0,14.08,64.66
qual-f-60633-37,forged,140,2,0,14.10,42.37
qual-f-60633-38,forged,142,2,0,11.15,41.28
qual-f-60633-39,forged,144,2,0,15.01,30.02
qual-f-60633-4,forged,107,2,0,10.69,29.10
qual-f-60633-40,forged,141,2,0,12.33,47.68
qual-f-60633-41,forged,143,2,0,12.33,39.82
qual-f-60633-42,forged,145,2,0,10.97,53.34
qual-f-60633-43,forged,146,2,0,11.51,52.10
