requestId,type,recordId,verdict,timeout,submit_ms,e2e_ms
qual-f-60633-0,forged,102,2,0,357.98,22.83
qual-f-60633-1,forged,104,2,0,353.23,22.70
qual-f-60633-10,forged,113,2,0,306.36,19.46
qual-f-60633-11,forged,114,2,0,318.53,27.89
qual-f-60633-12,forged,115,2,0,306.88,20.17
qual-f-60633-13,forged,118,2,0,300.88,28.12
qual-f-60633-14,forged,116,2,0,293.53,28.08
qual-f-60633-15,forged,117,2,0,293.46,28.06
qual-f-60633-16,forged,119,2,0,293.99,19.67
qual-f-60633-17,forged,120,2,0,297.11,19.56
qual-f-60633-18,forged,121,2,0,294.02,19.51
qual-f-60633-19,forged,122,2,0,297.27,19.54
qual-f-60633-2,forged,105,2,0,359.30,22.51
qual-f-60633-20,forged,125,2,0,314.74,29.69
qual-f-60633-21,forged,124,2,0,321.63,27.76
qual-f-60633-22,forged,123,2,0,312.76,40.44
qual-f-60633-23,forged,126,2,0,320.96,28.06
qual-f-60633-24,forged,127,2,0,324.76,26.27
qual-f-60633-25,forged,128,2,0,332.88,27.64
qual-f-60633-26,forged,129,2,0,311.35,25.21
qual-f-60633-27,forged,130,2,0,329.56,33.61
qual-f-60633-28,forged,131,2,0,356.30,33.68
qual-f-60633-29,forged,132,2,0,362.06,33.85
qual-f-60633-3,forged,106,2,0,368.50,31.66
qual-f-60633-30,forged,133,2,0,355.22,31.82
qual-f-60633-31,forged,134,2,0,349.61,31.90
qual-f-60633-32,forged,135,2,0,345.67,31.43
qual-f-60633-33,forged,136,2,0,339.05,38.82
qual-f-60633-34,forged,137,2,0,340.40,38.91
qual-f-60633-35,forged,138,2,0,323.62,39.15
qual-f-60633-36,forged,139,2,0,302.38,28.76
qual-f-60633-37,forged,140,2,0,293.88,28.93
qual-f-60633-38,forged,142,2,0,304.25,29.02
qual-f-60633-39,forged,144,2,0,298.42,28.43
qual-f-60633-4,forged,107,2,0,310.26,22.35
qual-f-60633-40,forged,141,2,0,301.60,27.97
qual-f-60633-41,forged,143,2,0,301.72,27.06
qual-f-60633-42,forged,145,2,0,304.60,19.82
qual-f-60633-43,forged,146,2,0,304.84,26.79
