requestId,type,recordId,verdict,timeout,submit_ms,e2e_ms
qual-f-60633-0,forged,102,2,0,23.50,36.55
qual-f-60633-1,forged,104,2,0,24.31,32.28
qual-f-60633-10,forged,113,2,0,25.54,53.87
qual-f-60633-11,forged,114,2,0,22.34,51.38
qual-f-60633-12,forged,115,2,0,22.22,49.32
qual-f-60633-13,forged,118,2,0,23.52,32.55
qual-f-60633-14,forged,116,2,0,27.58,62.02
qual-f-60633-15,forged,117,2,0,21.67,38.12
qual-f-60633-16,forged,119,2,0,22.43,87.45
qual-f-60633-17,forged,120,2,0,20.57,36.76
qual-f-60633-18,forged,121,2,0,22.18,55.47
qual-f-60633-19,forged,122,2,0,21.92,49.25
qual-f-60633-2,forged,105,2,0,24.74,34.34
qual-f-60633-20,forged,125,2,0,20.19,43.58
qual-f-60633-21,forged,124,2,0,20.20,120.71
qual-f-60633-22,forged,123,2,0,19.05,36.23
qual-f-60633-23,forged,126,2,0,19.16,68.38
qual-f-60633-24,forged,127,2,0,19.42,52.29
qual-f-60633-25,forged,128,2,0,26.33,51.09
qual-f-60633-26,forged,129,2,0,34.57,49.85
qual-f-60633-27,forged,130,2,0,34.52,47.22
qual-f-60633-28,forged,131,2,0,27.02,47.16
qual-f-60633-29,forged,132,2,0,28.90,53.41
qual-f-60633-3,forged,106,2,0,25.31,57.30
qual-f-60633-30,forged,133,2,0,27.72,42.75
qual-f-60633-31,forged,134,2,0,29.13,49.84
qual-f-60633-32,forged,135,2,0,26.43,43.02
qual-f-60633-33,forged,136,2,0,30.70,42.49
qual-f-60633-34,forged,137,2,0,22.80,90.39
qual-f-60633-35,forged,138,2,0,21.97,39.93
qual-f-60633-36,forged,139,2,0,20.69,50.08
qual-f-60633-37,forged,140,2,0,20.40,38.21
qual-f-60633-38,forged,142,2,0,19.70,27.40
qual-f-60633-39,forged,144,2,0,22.30,27.44
qual-f-60633-4,forged,107,2,0,21.93,29.28
qual-f-60633-40,forged,141,2,0,22.22,143.19
qual-f-60633-41,forged,143,2,0,23.84,35.08
qual-f-60633-42,forged,145,2,0,18.34,40.16
qual-f-60633-43,forged,146,2,0,18.03,40.55
qual-f-60633-44,forged,148,2,0,17.78,41.09
qual-f-60633-45,forged,147,2,0,17.78,43.97
qual-f-60633-46,forged,149,2,0,17.31,33.53
qual-f-60633-47,forged,151,2,0,18.42,30.38
qual-f-60633-48,forged,150,2,0,18.36,34.13
qual-f-60633-49,forged,152,2,0,18.61,27.57
qual-f-60633-5,forged,108,2,0,22.88,43.34
qual-f-60633-50,forged,153,2,0,17.98,25.72
qual-f-60633-51,forged,154,2,0,17.94,36.51
qual-f-60633-52,forged,155,2,0,17.90,38.91
qual-f-60633-53,forged,156,2,0,17.91,41.61
qual-f-60633-54,forged,159,2,0,17.92,40.44
qual-f-60633-55,forged,157,2,0,18.01,35.20
qual-f-60633-56,forged,158,2,0,18.05,35.08
qual-f-60633-57,forged,160,2,0,18.66,42.22
qual-f-60633-58,forged,161,2,0,18.70,42.33
qual-f-60633-59,forged,162,2,0,20.14,34.05
qual-f-60633-6,forged,110,2,0,21.42,41.99
qual-f-60633-60,forged,163,2,0,25.22,38.08
qual-f-60633-61,forged,164,2,0,18.39,30.61
qual-f-60633-62,forged,165,2,0,20.04,39.48
qual-f-60633-63,forged,167,2,0,22.60,38.68
qual-f-60633-64,forged,166,2,0,22.56,38.71
qual-f-60633-65,forged,168,2,0,23.77,28.72
qual-f-60633-66,forged,169,2,0,23.58,44.02
qual-f-60633-67,forged,170,2,0,23.44,41.90
qual-f-60633-68,forged,171,2,0,21.99,67.05
qual-f-60633-69,forged,172,2,0,21.85,37.84
qual-f-60633-7,forged,109,2,0,26.20,40.48
qual-f-60633-70,forged,173,2,0,24.44,42.33
qual-f-60633-71,forged,176,2,0,19.73,39.85
qual-f-60633-72,forged,174,2,0,19.74,66.12
qual-f-60633-73,forged,175,2,0,30.29,36.78
qual-f-60633-74,forged,177,2,0,25.10,58.22
qual-f-60633-75,forged,178,2,0,24.97,34.71
qual-f-60633-76,forged,180,2,0,24.97,60.00
qual-f-60633-77,forged,179,2,0,24.90,27.96
qual-f-60633-78,forged,181,2,0,25.59,51.94
qual-f-60633-79,forged,182,2,0,29.76,50.70
qual-f-60633-8,forged,112,2,0,21.47,59.07
qual-f-60633-80,forged,184,2,0,29.31,51.23
qual-f-60633-81,forged,183,2,0,27.88,90.94
qual-f-60633-82,forged,185,2,0,27.50,84.30
qual-f-60633-83,forged,186,2,0,27.45,75.16
qual-f-60633-84,forged,187,2,0,28.38,104.61
qual-f-60633-85,forged,188,2,0,35.04,100.63
qual-f-60633-86,forged,189,2,0,32.10,100.01
qual-f-60633-87,forged,192,2,0,35.33,69.16
qual-f-60633-88,forged,191,2,0,35.02,82.70
qual-f-60633-89,forged,190,2,0,26.77,102.61
qual-f-60633-9,forged,111,2,0,24.06,49.10
qual-f-60633-90,forged,193,2,0,34.12,77.16
qual-f-60633-91,forged,194,2,0,26.41,79.31
qual-f-60633-92,forged,195,2,0,30.24,76.18
qual-f-60633-93,forged,196,2,0,31.03,76.10
qual-f-60633-94,forged,197,2,0,30.87,83.54
qual-f-60633-95,forged,198,2,0,25.15,75.77
qual-f-60633-96,forged,200,2,0,25.03,98.21
qual-f-60633-97,forged,199,2,0,23.70,43.84
qual-f-60633-98,forged,201,2,0,23.70,42.39
qual-f-60633-99,forged,202,2,0,21.62,51.69
qual-r-60633-0,real,10,1,0,2022.94,559.90
qual-r-60633-1,real,4,1,0,2023.02,559.37
qual-r-60633-10,real,12,1,0,55.62,558.81
