requestId,type,recordId,verdict,timeout,submit_ms,e2e_ms
qual-f-60633-0,forged,102,2,0,10.73,28.21
qual-f-60633-1,forged,104,2,0,11.97,28.08
qual-f-60633-10,forged,113,2,0,11.42,26.53
qual-f-60633-11,forged,114,2,0,8.82,25.56
qual-f-60633-12,forged,115,2,0,11.92,22.24
qual-f-60633-13,forged,118,2,0,11.15,43.82
qual-f-60633-14,forged,116,2,0,9.35,38.55
qual-f-60633-15,forged,117,2,0,10.67,38.37
qual-f-60633-16,forged,119,2,0,9.57,36.62
qual-f-60633-17,forged,120,2,0,8.61,36.24
qual-f-60633-18,forged,121,2,0,12.39,35.59
qual-f-60633-19,forged,122,2,0,11.88,34.93
qual-f-60633-2,forged,105,2,0,10.73,26.31
qual-f-60633-20,forged,125,2,0,10.28,28.20
qual-f-60633-21,forged,124,2,0,9.65,29.05
qual-f-60633-22,forged,123,2,0,11.87,34.73
qual-f-60633-23,forged,126,2,0,13.76,34.24
qual-f-60633-24,forged,127,2,0,10.81,34.24
qual-f-60633-25,forged,128,2,0,12.38,44.46
qual-f-60633-26,forged,129,2,0,10.99,43.45
qual-f-60633-27,forged,130,2,0,12.17,22.81
qual-f-60633-28,forged,131,2,0,11.14,12.89
qual-f-60633-29,forged,132,2,0,12.68,24.76
qual-f-60633-3,forged,106,2,0,10.45,19.30
qual-f-60633-30,forged,133,2,0,10.02,21.61
qual-f-60633-31,forged,134,2,0,10.02,21.03
qual-f-60633-32,forged,135,2,0,9.76,21.30
qual-f-60633-33,forged,136,2,0,9.90,20.94
qual-f-60633-34,forged,137,2,0,10.40,22.58
qual-f-60633-35,forged,138,2,0,10.74,28.11
qual-f-60633-36,forged,139,2,0,11.04,23.96
qual-f-60633-37,forged,140,2,0,10.23,22.49
qual-f-60633-38,forged,142,2,0,10.62,17.78
qual-f-60633-39,forged,144,2,0,10.45,16.76
qual-f-60633-4,forged,107,2,0,10.81,28.64
qual-f-60633-40,forged,141,2,0,10.54,16.44
qual-f-60633-41,forged,143,2,0,9.93,15.92
qual-f-60633-42,forged,145,2,0,10.32,36.96
qual-f-60633-43,forged,146,2,0,10.62,26.30
qual-f-60633-44,forged,148,2,0,9.68,29.55
qual-f-60633-45,forged,147,2,0,10.14,29.67
qual-f-60633-46,forged,149,2,0,10.44,38.44
qual-f-60633-47,forged,151,2,0,10.73,35.94
qual-f-60633-48,forged,150,2,0,10.75,32.30
qual-f-60633-49,forged,152,2,0,10.05,30.86
qual-f-60633-5,forged,108,2,0,10.45,35.94
qual-f-60633-50,forged,153,2,0,10.25,24.34
qual-f-60633-51,forged,154,2,0,9.50,30.16
qual-f-60633-52,forged,155,2,0,8.49,42.63
qual-f-60633-53,forged,156,2,0,8.45,22.24
qual-f-60633-54,forged,159,2,0,8.62,28.07
qual-f-60633-55,forged,157,2,0,7.42,27.21
qual-f-60633-56,forged,158,2,0,11.06,28.99
qual-f-60633-57,forged,160,2,0,10.34,26.92
qual-f-60633-58,forged,161,2,0,9.14,25.05
qual-f-60633-59,forged,162,2,0,9.49,37.39
qual-f-60633-6,forged,110,2,0,11.29,29.96
qual-f-60633-60,forged,163,2,0,9.34,22.10
qual-f-60633-61,forged,164,2,0,10.42,34.53
qual-f-60633-62,forged,165,2,0,12.05,32.76
qual-f-60633-63,forged,167,2,0,11.26,30.65
qual-f-60633-64,forged,166,2,0,11.36,29.99
qual-f-60633-65,forged,168,2,0,10.84,43.91
qual-f-60633-66,forged,169,2,0,9.83,29.91
qual-f-60633-67,forged,170,2,0,9.91,28.61
qual-f-60633-68,forged,171,2,0,9.98,42.17
qual-f-60633-69,forged,172,2,0,11.72,33.85
qual-f-60633-7,forged,109,2,0,9.87,50.85
qual-f-60633-70,forged,173,2,0,12.87,33.48
qual-f-60633-71,forged,176,2,0,9.31,33.24
qual-f-60633-72,forged,174,2,0,12.65,38.43
qual-f-60633-73,forged,175,2,0,11.61,24.96
qual-f-60633-74,forged,177,2,0,11.15,18.53
qual-f-60633-75,forged,178,2,0,12.44,19.10
qual-f-60633-76,forged,180,2,0,10.58,21.80
qual-f-60633-77,forged,179,2,0,12.33,22.35
qual-f-60633-78,forged,181,2,0,11.77,21.72
qual-f-60633-79,forged,182,2,0,12.89,21.66
qual-f-60633-8,forged,112,2,0,10.43,49.55
qual-f-60633-80,forged,184,2,0,12.17,21.55
qual-f-60633-81,forged,183,2,0,11.03,21.45
qual-f-60633-82,forged,185,2,0,11.02,27.89
qual-f-60633-83,forged,186,2,0,10.23,22.28
qual-f-60633-84,forged,187,2,0,11.50,23.23
qual-f-60633-85,forged,188,2,0,11.44,26.98
qual-f-60633-86,forged,189,2,0,11.28,33.31
qual-f-60633-87,forged,192,2,0,11.73,26.55
qual-f-60633-88,forged,191,2,0,11.32,26.67
qual-f-60633-89,forged,190,2,0,10.28,33.88
qual-f-60633-9,forged,111,2,0,10.37,26.61
qual-f-60633-90,forged,193,2,0,10.83,35.76
qual-f-60633-91,forged,194,2,0,11.07,19.92
qual-f-60633-92,forged,195,2,0,13.93,27.68
qual-f-60633-93,forged,196,2,0,13.44,27.89
qual-f-60633-94,forged,197,2,0,13.36,27.77
qual-f-60633-95,forged,198,2,0,12.39,26.64
qual-f-60633-96,forged,200,2,0,12.11,27.29
qual-f-60633-97,forged,199,2,0,12.24,27.43
qual-f-60633-98,forged,201,2,0,11.10,19.83
qual-f-60633-99,forged,202,2,0,11.42,20.38
qual-r-60633-0,real,10,1,0,112.22,642.02
qual-r-60633-1,real,4,1,0,112.12,642.12
qual-r-60633-10,real,12,1,0,19.07,641.89
qual-r-60633-11,real,13,1,0,15.12,641.33
qual-r-60633-12,real,15,1,0,23.32,641.69
qual-r-60633-13,real,16,1,0,27.61,640.66
qual-r-60633-14,real,17,1,0,23.28,641.33
qual-r-60633-15,real,18,1,0,21.51,640.78
qual-r-60633-16,real,19,1,0,21.09,48.11
qual-r-60633-17,real,20,1,0,17.61,29.91
qual-r-60633-18,real,21,1,0,20.82,34.70
qual-r-60633-19,real,22,1,0,19.75,29.57
qual-r-60633-2,real,8,1,0,111.84,641.98
qual-r-60633-20,real,24,1,0,24.01,25.25
qual-r-60633-21,real,23,1,0,17.82,24.96
qual-r-60633-22,real,25,1,0,22.34,35.38
qual-r-60633-23,real,26,1,0,19.71,22.50
qual-r-60633-24,real,29,1,0,15.33,29.83
qual-r-60633-25,real,27,1,0,14.41,34.57
qual-r-60633-26,real,31,1,0,14.88,22.03
qual-r-60633-27,real,32,1,0,14.94,25.03
qual-r-60633-28,real,28,1,0,15.59,34.33
qual-r-60633-29,real,30,1,0,17.84,29.19
qual-r-60633-3,real,6,1,0,111.51,642.78
qual-r-60633-30,real,33,1,0,16.93,24.44
qual-r-60633-31,real,34,1,0,14.37,37.52
qual-r-60633-32,real,35,1,0,14.22,32.97
qual-r-60633-33,real,37,1,0,16.44,27.58
qual-r-60633-34,real,36,1,0,14.16,26.59
qual-r-60633-35,real,39,1,0,18.42,34.66
qual-r-60633-36,real,38,1,0,12.08,25.65
qual-r-60633-37,real,40,1,0,21.27,29.86
qual-r-60633-38,real,41,1,0,14.81,21.97
qual-r-60633-39,real,42,1,0,11.11,21.68
qual-r-60633-4,real,9,1,0,111.21,641.75
qual-r-60633-40,real,43,1,0,18.77,30.04
qual-r-60633-41,real,44,1,0,21.64,25.84
qual-r-60633-42,real,45,1,0,22.28,26.21
qual-r-60633-43,real,47,1,0,23.72,25.18
qual-r-60633-44,real,46,1,0,19.54,20.79
qual-r-60633-45,real,48,1,0,23.81,20.20
qual-r-60633-46,real,49,1,0,19.87,21.76
qual-r-60633-47,real,50,1,0,15.66,21.87
qual-r-60633-48,real,51,1,0,28.85,19.07
qual-r-60633-49,real,52,1,0,29.74,18.15
qual-r-60633-5,real,5,1,0,111.21,642.18
qual-r-60633-50,real,54,1,0,27.94,22.84
qual-r-60633-51,real,56,1,0,19.28,17.89
qual-r-60633-52,real,53,1,0,28.78,24.48
qual-r-60633-53,real,55,1,0,25.98,30.50
qual-r-60633-54,real,57,1,0,25.32,26.44
qual-r-60633-55,real,58,1,0,28.26,25.78
qual-r-60633-56,real,59,1,0,14.07,18.84
qual-r-60633-57,real,60,1,0,14.20,19.34
qual-r-60633-58,real,62,1,0,11.11,22.54
qual-r-60633-59,real,61,1,0,11.02,23.79
qual-r-60633-6,real,7,1,0,110.82,642.22
qual-r-60633-60,real,63,1,0,11.23,31.85
qual-r-60633-61,real,64,1,0,11.56,41.99
qual-r-60633-62,real,65,1,0,11.45,23.35
qual-r-60633-63,real,66,1,0,11.20,25.05
qual-r-60633-64,real,68,1,0,10.85,29.96
qual-r-60633-65,real,67,1,0,11.87,21.59
qual-r-60633-66,real,69,1,0,12.89,29.77
qual-r-60633-67,real,70,1,0,12.77,25.65
qual-r-60633-68,real,72,1,0,12.78,25.82
qual-r-60633-69,real,71,1,0,11.28,27.25
qual-r-60633-7,real,3,1,0,110.46,641.11
qual-r-60633-70,real,73,1,0,11.07,23.81
qual-r-60633-71,real,74,1,0,10.85,26.87
qual-r-60633-72,real,75,1,0,9.12,25.38
qual-r-60633-73,real,76,1,0,18.73,26.13
qual-r-60633-74,real,77,1,0,18.08,24.30
qual-r-60633-75,real,80,1,0,18.07,38.52
qual-r-60633-76,real,79,1,0,17.47,22.06
qual-r-60633-77,real,78,1,0,17.03,39.91
qual-r-60633-78,real,81,1,0,18.71,33.41
qual-r-60633-79,real,82,1,0,17.72,27.19
qual-r-60633-8,real,14,1,0,14.95,641.45
qual-r-60633-80,real,83,1,0,17.00,28.55
qual-r-60633-81,real,84,1,0,11.11,31.57
qual-r-60633-82,real,85,1,0,11.57,22.60
qual-r-60633-83,real,86,1,0,11.99,22.35
qual-r-60633-84,real,87,1,0,9.52,22.38
qual-r-60633-85,real,88,1,0,11.87,29.04
qual-r-60633-86,real,89,1,0,11.32,29.40
qual-r-60633-87,real,90,1,0,12.13,29.11
qual-r-60633-88,real,91,1,0,10.47,23.71
qual-r-60633-89,real,92,1,0,10.78,29.14
qual-r-60633-9,real,11,1,0,19.08,642.41
qual-r-60633-90,real,93,1,0,12.23,23.06
qual-r-60633-91,real,94,1,0,11.85,38.82
qual-r-60633-92,real,95,1,0,11.59,45.36
qual-r-60633-93,real,96,1,0,10.89,35.33
qual-r-60633-94,real,97,1,0,9.81,22.72
qual-r-60633-95,real,98,1,0,9.35,24.29
qual-r-60633-96,real,99,1,0,10.70,28.99
qual-r-60633-97,real,100,1,0,11.81,21.16
qual-r-60633-98,real,101,1,0,9.57,17.84
qual-r-60633-99,real,103,1,0,11.39,29.49
