requestId,type,recordId,verdict,timeout,submit_ms,e2e_ms
qual-f-60633-0,forged,102,2,0,7.92,16.92
qual-f-60633-1,forged,104,2,0,8.60,22.32
qual-f-60633-10,forged,113,2,0,7.04,20.25
qual-f-60633-11,forged,114,2,0,5.89,22.66
qual-f-60633-12,forged,115,2,0,6.76,20.19
qual-f-60633-13,forged,118,2,0,6.76,18.64
qual-f-60633-14,forged,116,2,0,8.75,20.71
qual-f-60633-15,forged,117,2,0,6.86,15.53
qual-f-60633-16,forged,119,2,0,6.88,15.26
qual-f-60633-17,forged,120,2,0,6.46,15.66
qual-f-60633-18,forged,121,2,0,6.41,17.41
qual-f-60633-19,forged,122,2,0,6.28,15.21
qual-f-60633-2,forged,105,2,0,7.77,15.98
qual-f-60633-20,forged,125,2,0,6.66,15.08
qual-f-60633-21,forged,124,2,0,6.70,19.78
qual-f-60633-22,forged,123,2,0,6.73,20.05
qual-f-60633-23,forged,126,2,0,6.85,17.63
qual-f-60633-24,forged,127,2,0,6.57,31.23
qual-f-60633-25,forged,128,2,0,6.72,16.30
qual-f-60633-26,forged,129,2,0,6.59,15.89
qual-f-60633-27,forged,130,2,0,8.15,19.22
qual-f-60633-28,forged,131,2,0,7.30,20.57
qual-f-60633-29,forged,132,2,0,7.47,25.07
qual-f-60633-3,forged,106,2,0,7.40,15.95
qual-f-60633-30,forged,133,2,0,7.06,24.59
qual-f-60633-31,forged,134,2,0,7.06,28.23
qual-f-60633-32,forged,135,2,0,6.73,20.22
qual-f-60633-33,forged,136,2,0,6.88,15.21
qual-f-60633-34,forged,137,2,0,6.74,22.48
qual-f-60633-35,forged,138,2,0,9.91,22.92
qual-f-60633-36,forged,139,2,0,6.91,30.31
qual-f-60633-37,forged,140,2,0,7.18,24.33
qual-f-60633-38,forged,142,2,0,6.98,22.51
qual-f-60633-39,forged,144,2,0,6.90,24.00
qual-f-60633-4,forged,107,2,0,6.69,14.75
qual-f-60633-40,forged,141,2,0,6.71,22.86
qual-f-60633-41,forged,143,2,0,6.31,15.56
qual-f-60633-42,forged,145,2,0,6.04,18.48
qual-f-60633-43,forged,146,2,0,8.89,25.73
qual-f-60633-44,forged,148,2,0,8.25,15.77
qual-f-60633-45,forged,147,2,0,7.99,17.63
qual-f-60633-46,forged,149,2,0,8.36,16.20
qual-f-60633-47,forged,151,2,0,7.81,16.74
qual-f-60633-48,forged,150,2,0,7.74,16.11
qual-f-60633-49,forged,152,2,0,7.79,16.03
qual-f-60633-5,forged,108,2,0,6.78,13.04
qual-f-60633-50,forged,153,2,0,7.96,15.56
qual-f-60633-51,forged,154,2,0,8.15,27.69
qual-f-60633-52,forged,155,2,0,7.63,24.18
qual-f-60633-53,forged,156,2,0,7.64,22.95
qual-f-60633-54,forged,159,2,0,7.56,24.19
qual-f-60633-55,forged,157,2,0,7.57,21.93
qual-f-60633-56,forged,158,2,0,7.61,21.43
qual-f-60633-57,forged,160,2,0,7.69,21.89
qual-f-60633-58,forged,161,2,0,7.69,21.77
qual-f-60633-59,forged,162,2,0,7.58,19.93
qual-f-60633-6,forged,110,2,0,7.22,19.38
