seq,concurrency,latency_ms,status,ok
0,1000,827.20,200,1
1,1000,851.53,200,1
2,1000,846.37,200,1
3,1000,1114.97,200,1
4,1000,835.87,200,1
5,1000,849.06,200,1
6,1000,827.19,200,1
7,1000,809.01,200,1
8,1000,839.68,200,1
9,1000,1129.94,200,1
10,1000,848.71,200,1
11,1000,821.77,200,1
12,1000,1109.19,200,1
13,1000,1126.25,200,1
14,1000,1113.30,200,1
15,1000,1128.72,200,1
16,1000,6229.11,200,1
17,1000,1674.20,200,1
18,1000,1125.44,200,1
19,1000,1109.01,200,1
20,1000,1689.91,200,1
21,1000,1665.54,200,1
22,1000,1127.23,200,1
23,1000,1379.90,200,1
24,1000,1371.94,200,1
25,1000,1381.88,200,1
26,1000,1131.36,200,1
27,1000,1368.36,200,1
28,1000,1391.16,200,1
29,1000,4417.83,200,1
30,1000,1393.12,200,1
31,1000,1683.33,200,1
32,1000,1678.16,200,1
33,1000,1955.66,200,1
34,1000,1399.71,200,1
35,1000,1963.96,200,1
36,1000,1684.26,200,1
37,1000,1971.13,200,1
38,1000,1394.53,200,1
39,1000,1399.07,200,1
40,1000,4059.46,200,1
41,1000,1973.22,200,1
42,1000,1694.87,200,1
43,1000,1387.09,200,1
44,1000,2926.43,200,1
45,1000,1981.98,200,1
46,1000,1669.32,200,1
47,1000,2240.99,200,1
48,1000,3559.73,200,1
49,1000,1973.65,200,1
50,1000,6232.39,200,1
51,1000,4571.51,200,1
52,1000,1986.70,200,1
53,1000,2243.22,200,1
54,1000,1973.03,200,1
55,1000,2247.30,200,1
56,1000,1697.33,200,1
57,1000,4401.45,200,1
58,1000,2246.91,200,1
59,1000,4025.74,200,1
60,1000,1975.42,200,1
61,1000,2246.73,200,1
62,1000,3244.14,200,1
63,1000,1687.11,200,1
64,1000,1955.61,200,1
65,1000,3263.75,200,1
66,1000,2223.02,200,1
67,1000,2251.71,200,1
68,1000,5355.60,200,1
69,1000,5326.16,200,1
70,1000,6351.86,200,1
71,1000,2233.07,200,1
72,1000,2218.47,200,1
73,1000,3243.30,200,1
74,1000,2554.76,200,1
75,1000,4023.94,200,1
76,1000,4851.61,200,1
77,1000,5736.67,200,1
78,1000,2925.23,200,1
79,1000,2573.43,200,1
80,1000,2591.89,200,1
81,1000,2249.77,200,1
82,1000,3242.46,200,1
83,1000,2581.68,200,1
84,1000,2924.67,200,1
85,1000,2565.07,200,1
86,1000,2906.03,200,1
87,1000,3250.79,200,1
88,1000,2573.90,200,1
89,1000,2571.52,200,1
90,1000,3557.62,200,1
91,1000,2571.95,200,1
92,1000,2915.86,200,1
93,1000,2914.07,200,1
94,1000,2579.78,200,1
95,1000,5059.99,200,1
96,1000,6042.80,200,1
97,1000,4524.33,200,1
98,1000,2915.67,200,1
99,1000,2586.11,200,1
100,1000,5712.07,200,1
101,1000,3854.56,200,1
102,1000,3562.58,200,1
103,1000,2899.50,200,1
104,1000,2933.33,200,1
105,1000,3247.49,200,1
106,1000,4027.56,200,1
107,1000,4388.88,200,1
108,1000,6221.59,200,1
109,1000,3254.27,200,1
110,1000,3235.60,200,1
111,1000,4771.25,200,1
112,1000,4396.09,200,1
113,1000,3544.22,200,1
114,1000,4186.22,200,1
115,1000,16063.45,200,1
116,1000,4026.14,200,1
117,1000,4026.10,200,1
118,1000,4749.41,200,1
119,1000,4181.98,200,1
120,1000,3211.16,200,1
121,1000,4395.02,200,1
122,1000,6036.89,200,1
123,1000,2923.42,200,1
124,1000,3569.10,200,1
125,1000,3224.87,200,1
126,1000,3525.26,200,1
127,1000,3570.59,200,1
128,1000,4051.96,200,1
129,1000,5705.20,200,1
130,1000,4563.37,200,1
131,1000,5053.37,200,1
132,1000,5619.96,200,1
133,1000,6512.31,200,1
134,1000,5431.80,200,1
135,1000,5138.62,200,1
136,1000,4771.04,200,1
137,1000,3550.09,200,1
138,1000,5631.11,200,1
139,1000,4861.37,200,1
140,1000,4022.92,200,1
141,1000,6339.60,200,1
142,1000,8631.97,200,1
143,1000,4022.49,200,1
144,1000,4391.88,200,1
145,1000,6835.65,200,1
146,1000,4758.07,200,1
147,1000,4755.69,200,1
148,1000,4148.01,200,1
149,1000,5910.37,200,1
150,1000,5035.23,200,1
151,1000,5041.47,200,1
152,1000,4405.15,200,1
153,1000,4745.62,200,1
154,1000,6224.29,200,1
155,1000,3550.62,200,1
156,1000,6335.85,200,1
157,1000,5319.77,200,1
158,1000,5055.18,200,1
159,1000,5871.32,200,1
160,1000,12783.34,200,1
161,1000,5620.08,200,1
162,1000,4851.52,200,1
163,1000,3538.78,200,1
164,1000,5888.66,200,1
165,1000,5629.51,200,1
166,1000,5313.59,200,1
167,1000,4763.53,200,1
168,1000,5326.81,200,1
169,1000,5026.99,200,1
170,1000,6228.91,200,1
171,1000,5126.88,200,1
172,1000,5906.06,200,1
173,1000,5878.37,200,1
174,1000,5884.90,200,1
175,1000,5431.00,200,1
176,1000,5594.16,200,1
177,1000,5331.23,200,1
178,1000,8913.49,200,1
179,1000,5346.42,200,1
180,1000,5614.69,200,1
181,1000,6023.89,200,1
182,1000,5425.78,200,1
183,1000,5894.72,200,1
184,1000,5116.19,200,1
185,1000,5602.03,200,1
186,1000,8731.54,200,1
187,1000,6228.25,200,1
188,1000,6221.13,200,1
189,1000,5020.88,200,1
190,1000,8372.63,200,1
191,1000,6524.76,200,1
192,1000,10273.23,200,1
193,1000,6516.68,200,1
194,1000,7472.79,200,1
195,1000,322.30,EXCEPTION,0
196,1000,13246.63,200,1
197,1000,7363.15,200,1
198,1000,9146.98,200,1
199,1000,14954.00,200,1
200,1000,8134.39,200,1
201,1000,8904.27,200,1
202,1000,13828.52,200,1
203,1000,12672.98,200,1
204,1000,13219.23,200,1
205,1000,15368.50,200,1
206,1000,6910.08,200,1
207,1000,7717.86,200,1
208,1000,7950.24,200,1
209,1000,8906.78,200,1
210,1000,8446.13,200,1
211,1000,7634.17,200,1
212,1000,10267.86,200,1
213,1000,7867.85,200,1
214,1000,8995.72,200,1
215,1000,7109.79,200,1
216,1000,7638.01,200,1
217,1000,7382.28,200,1
218,1000,13250.16,200,1
219,1000,12936.79,200,1
220,1000,12694.92,200,1
221,1000,6801.37,200,1
222,1000,9684.73,200,1
223,1000,8615.70,200,1
224,1000,6807.86,200,1
225,1000,9695.84,200,1
226,1000,18734.28,200,1
227,1000,13079.28,200,1
228,1000,9402.28,200,1
229,1000,7955.74,200,1
230,1000,8137.82,200,1
231,1000,7640.29,200,1
232,1000,10273.75,200,1
233,1000,8129.15,200,1
234,1000,6513.15,200,1
235,1000,13862.67,200,1
236,1000,12774.92,200,1
237,1000,8712.55,200,1
238,1000,7184.81,200,1
239,1000,13526.53,200,1
240,1000,13517.94,200,1
241,1000,13358.50,200,1
242,1000,12667.61,200,1
243,1000,6498.74,200,1
244,1000,13538.05,200,1
245,1000,8903.93,200,1
246,1000,8119.03,200,1
247,1000,15464.89,200,1
248,1000,12945.91,200,1
249,1000,8457.82,200,1
250,1000,13652.73,200,1
251,1000,6815.97,200,1
252,1000,13256.46,200,1
253,1000,7382.41,200,1
254,1000,6823.04,200,1
255,1000,12668.79,200,1
256,1000,15201.99,200,1
257,1000,12917.67,200,1
258,1000,6906.91,200,1
259,1000,8900.22,200,1
260,1000,6513.56,200,1
261,1000,8618.37,200,1
262,1000,8615.63,200,1
263,1000,8460.28,200,1
264,1000,13845.25,200,1
265,1000,13071.58,200,1
266,1000,8989.60,200,1
267,1000,7632.49,200,1
268,1000,9662.86,200,1
269,1000,13810.75,200,1
270,1000,7955.87,200,1
271,1000,13655.51,200,1
272,1000,14682.62,200,1
273,1000,7704.76,200,1
274,1000,15056.72,200,1
275,1000,7100.62,200,1
276,1000,9219.73,200,1
277,1000,12950.80,200,1
278,1000,13804.72,200,1
279,1000,7085.01,200,1
280,1000,7715.42,200,1
281,1000,8728.00,200,1
282,1000,9679.29,200,1
283,1000,8202.35,200,1
284,1000,8362.07,200,1
285,1000,13072.08,200,1
286,1000,7618.67,200,1
287,1000,7378.74,200,1
288,1000,13551.38,200,1
289,1000,9385.31,200,1
290,1000,13538.16,200,1
291,1000,6809.93,200,1
292,1000,15243.66,200,1
293,1000,7866.00,200,1
294,1000,8902.76,200,1
295,1000,10267.95,200,1
296,1000,8204.59,200,1
297,1000,7872.71,200,1
298,1000,7868.82,200,1
299,1000,9487.03,200,1
300,1000,9140.69,200,1
301,1000,6597.03,200,1
302,1000,7097.26,200,1
303,1000,6798.51,200,1
304,1000,8620.92,200,1
305,1000,7619.07,200,1
306,1000,13823.32,200,1
307,1000,8117.33,200,1
308,1000,7872.94,200,1
309,1000,13528.62,200,1
310,1000,7184.41,200,1
311,1000,8616.04,200,1
312,1000,7455.79,200,1
313,1000,11043.78,200,1
314,1000,7454.23,200,1
315,1000,7357.04,200,1
316,1000,8908.25,200,1
317,1000,8106.89,200,1
318,1000,7084.64,200,1
319,1000,9658.11,200,1
320,1000,13355.63,200,1
321,1000,8625.69,200,1
322,1000,8354.02,200,1
323,1000,8365.64,200,1
324,1000,13569.11,200,1
325,1000,8967.15,200,1
326,1000,7858.46,200,1
327,1000,11051.61,200,1
328,1000,6594.18,200,1
329,1000,12760.54,200,1
330,1000,7102.58,200,1
331,1000,8186.61,200,1
332,1000,9142.31,200,1
333,1000,9136.55,200,1
334,1000,13350.59,200,1
335,1000,6598.68,200,1
336,1000,14673.64,200,1
337,1000,6491.92,200,1
338,1000,9402.25,200,1
339,1000,7373.51,200,1
340,1000,6902.29,200,1
341,1000,12934.35,200,1
342,1000,7359.04,200,1
343,1000,7175.41,200,1
344,1000,7081.57,200,1
345,1000,7611.63,200,1
346,1000,8364.95,200,1
347,1000,8340.05,200,1
348,1000,7867.44,200,1
349,1000,8097.03,200,1
350,1000,9975.85,200,1
351,1000,10256.78,200,1
352,1000,9469.63,200,1
353,1000,8342.92,200,1
354,1000,9468.37,200,1
355,1000,405.01,EXCEPTION,0
356,1000,9643.50,200,1
357,1000,317.03,EXCEPTION,0
358,1000,9136.62,200,1
359,1000,318.05,EXCEPTION,0
360,1000,9665.46,200,1
361,1000,9138.28,200,1
362,1000,12969.13,200,1
363,1000,9144.82,200,1
364,1000,9379.56,200,1
365,1000,10498.91,200,1
366,1000,9214.32,200,1
367,1000,9214.23,200,1
368,1000,9372.72,200,1
369,1000,9781.42,200,1
370,1000,9369.36,200,1
371,1000,9380.91,200,1
372,1000,9981.06,200,1
373,1000,9967.43,200,1
374,1000,10240.38,200,1
375,1000,9785.48,200,1
376,1000,15196.67,200,1
377,1000,11039.38,200,1
378,1000,10066.52,200,1
379,1000,10066.49,200,1
380,1000,9974.79,200,1
381,1000,9976.96,200,1
382,1000,10068.93,200,1
383,1000,9979.00,200,1
384,1000,9963.06,200,1
385,1000,9774.62,200,1
386,1000,10329.40,200,1
387,1000,10596.52,200,1
388,1000,26000.75,200,1
389,1000,300.03,EXCEPTION,0
390,1000,290.62,EXCEPTION,0
391,1000,24867.22,200,1
392,1000,10334.78,200,1
393,1000,10495.79,200,1
394,1000,10502.71,200,1
395,1000,10586.87,200,1
396,1000,10500.57,200,1
397,1000,11555.31,200,1
398,1000,10506.63,200,1
399,1000,10490.97,200,1
400,1000,10331.18,200,1
401,1000,10501.39,200,1
402,1000,10590.82,200,1
403,1000,10244.81,200,1
404,1000,26341.95,200,1
405,1000,10761.32,200,1
406,1000,10755.36,200,1
407,1000,11005.78,200,1
408,1000,10743.36,200,1
409,1000,10764.59,200,1
410,1000,10845.62,200,1
411,1000,10747.66,200,1
412,1000,10756.35,200,1
413,1000,11019.68,200,1
414,1000,15331.94,200,1
415,1000,10847.80,200,1
416,1000,10999.03,200,1
417,1000,10756.98,200,1
418,1000,11552.47,200,1
419,1000,10836.45,200,1
420,1000,11103.82,200,1
421,1000,11101.44,200,1
422,1000,11012.80,200,1
423,1000,261.43,EXCEPTION,0
424,1000,11103.18,200,1
425,1000,260.55,EXCEPTION,0
426,1000,265.41,EXCEPTION,0
427,1000,281.98,EXCEPTION,0
428,1000,291.52,EXCEPTION,0
429,1000,290.10,EXCEPTION,0
430,1000,29477.61,200,1
431,1000,27597.27,200,1
432,1000,309.01,EXCEPTION,0
433,1000,298.68,EXCEPTION,0
434,1000,307.27,EXCEPTION,0
435,1000,255.27,EXCEPTION,0
436,1000,289.03,EXCEPTION,0
437,1000,303.18,EXCEPTION,0
438,1000,283.95,EXCEPTION,0
439,1000,293.66,EXCEPTION,0
440,1000,305.44,EXCEPTION,0
441,1000,279.57,EXCEPTION,0
442,1000,285.93,EXCEPTION,0
443,1000,248.03,EXCEPTION,0
444,1000,462.00,EXCEPTION,0
445,1000,284.05,EXCEPTION,0
446,1000,278.53,EXCEPTION,0
447,1000,26781.55,200,1
448,1000,244.99,EXCEPTION,0
449,1000,283.23,EXCEPTION,0
450,1000,301.69,EXCEPTION,0
451,1000,252.98,EXCEPTION,0
452,1000,301.14,EXCEPTION,0
453,1000,282.75,EXCEPTION,0
454,1000,251.13,EXCEPTION,0
455,1000,295.88,EXCEPTION,0
456,1000,273.86,EXCEPTION,0
457,1000,16006.24,200,1
458,1000,276.86,EXCEPTION,0
459,1000,386.34,EXCEPTION,0
460,1000,289.59,EXCEPTION,0
461,1000,249.50,EXCEPTION,0
462,1000,247.85,EXCEPTION,0
463,1000,281.16,EXCEPTION,0
464,1000,394.08,EXCEPTION,0
465,1000,384.17,EXCEPTION,0
466,1000,282.03,EXCEPTION,0
467,1000,276.70,EXCEPTION,0
468,1000,279.25,EXCEPTION,0
469,1000,381.39,EXCEPTION,0
470,1000,276.76,EXCEPTION,0
471,1000,23936.53,200,1
472,1000,365.77,EXCEPTION,0
473,1000,15728.98,200,1
474,1000,288.35,EXCEPTION,0
475,1000,292.84,EXCEPTION,0
476,1000,268.40,EXCEPTION,0
477,1000,279.47,EXCEPTION,0
478,1000,25383.66,200,1
479,1000,25920.68,200,1
480,1000,24772.15,200,1
481,1000,25144.71,200,1
482,1000,27531.65,200,1
483,1000,27472.10,200,1
484,1000,29039.21,200,1
485,1000,24426.37,200,1
486,1000,25884.84,200,1
487,1000,16226.71,200,1
488,1000,375.57,EXCEPTION,0
489,1000,25533.25,200,1
490,1000,22588.94,200,1
491,1000,28666.09,200,1
492,1000,279.69,EXCEPTION,0
493,1000,29576.84,200,1
494,1000,11802.08,200,1
495,1000,29438.69,200,1
496,1000,27971.60,200,1
497,1000,23370.68,200,1
498,1000,17376.30,200,1
499,1000,25051.03,200,1
500,1000,29568.53,200,1
501,1000,289.59,EXCEPTION,0
502,1000,370.99,EXCEPTION,0
503,1000,262.21,EXCEPTION,0
504,1000,274.67,EXCEPTION,0
505,1000,16760.66,200,1
506,1000,16261.48,200,1
507,1000,26446.75,200,1
508,1000,278.03,EXCEPTION,0
509,1000,349.94,EXCEPTION,0
510,1000,23059.08,200,1
511,1000,281.88,EXCEPTION,0
512,1000,16799.00,200,1
513,1000,272.17,EXCEPTION,0
514,1000,365.99,EXCEPTION,0
515,1000,22853.90,200,1
516,1000,287.15,EXCEPTION,0
517,1000,15433.16,200,1
518,1000,259.79,EXCEPTION,0
519,1000,15416.54,200,1
520,1000,275.48,EXCEPTION,0
521,1000,16522.69,200,1
522,1000,314.13,EXCEPTION,0
523,1000,16236.58,200,1
524,1000,286.19,EXCEPTION,0
525,1000,402.97,EXCEPTION,0
526,1000,16112.55,200,1
527,1000,276.72,EXCEPTION,0
528,1000,16375.68,200,1
529,1000,15710.79,200,1
530,1000,405.27,EXCEPTION,0
531,1000,15447.89,200,1
532,1000,381.40,EXCEPTION,0
533,1000,22324.88,200,1
534,1000,361.06,EXCEPTION,0
535,1000,369.78,EXCEPTION,0
536,1000,275.89,EXCEPTION,0
537,1000,11549.26,200,1
538,1000,355.33,EXCEPTION,0
539,1000,274.12,EXCEPTION,0
540,1000,17333.61,200,1
541,1000,16242.00,200,1
542,1000,17483.62,200,1
543,1000,17005.67,200,1
544,1000,16210.68,200,1
545,1000,271.63,EXCEPTION,0
546,1000,441.67,EXCEPTION,0
547,1000,12135.72,200,1
548,1000,15970.91,200,1
549,1000,259.08,EXCEPTION,0
550,1000,260.87,EXCEPTION,0
551,1000,16647.51,200,1
552,1000,15446.90,200,1
553,1000,353.62,EXCEPTION,0
554,1000,363.74,EXCEPTION,0
555,1000,16637.61,200,1
556,1000,15670.83,200,1
557,1000,265.96,EXCEPTION,0
558,1000,402.13,EXCEPTION,0
559,1000,17337.22,200,1
560,1000,275.55,EXCEPTION,0
561,1000,11254.99,200,1
562,1000,263.04,EXCEPTION,0
563,1000,342.20,EXCEPTION,0
564,1000,21451.47,200,1
565,1000,11275.95,200,1
566,1000,17360.84,200,1
567,1000,437.99,EXCEPTION,0
568,1000,17213.53,200,1
569,1000,21736.05,200,1
570,1000,264.19,EXCEPTION,0
571,1000,16098.31,200,1
572,1000,17002.24,200,1
573,1000,11250.89,200,1
574,1000,23199.60,200,1
575,1000,303.93,EXCEPTION,0
576,1000,17021.86,200,1
577,1000,275.80,EXCEPTION,0
578,1000,277.10,EXCEPTION,0
579,1000,249.80,EXCEPTION,0
580,1000,15993.73,200,1
581,1000,15561.56,200,1
582,1000,15825.80,200,1
583,1000,396.24,EXCEPTION,0
584,1000,17020.32,200,1
585,1000,16245.99,200,1
586,1000,11530.40,200,1
587,1000,302.97,EXCEPTION,0
588,1000,15556.49,200,1
589,1000,361.03,EXCEPTION,0
590,1000,12289.96,200,1
591,1000,245.12,EXCEPTION,0
592,1000,329.30,EXCEPTION,0
593,1000,15827.40,200,1
594,1000,11339.83,200,1
595,1000,13157.57,200,1
596,1000,12567.05,200,1
597,1000,11232.51,200,1
598,1000,11226.53,200,1
599,1000,11318.11,200,1
600,1000,11588.44,200,1
601,1000,11585.32,200,1
602,1000,11500.31,200,1
603,1000,15143.41,200,1
604,1000,14973.76,200,1
605,1000,11234.04,200,1
606,1000,11236.81,200,1
607,1000,11592.84,200,1
608,1000,11776.06,200,1
609,1000,11312.58,200,1
610,1000,11505.44,200,1
611,1000,11503.32,200,1
612,1000,11761.06,200,1
613,1000,18186.00,200,1
614,1000,11775.72,200,1
615,1000,11772.55,200,1
616,1000,19100.84,200,1
617,1000,11780.20,200,1
618,1000,12018.52,200,1
619,1000,11784.67,200,1
620,1000,11999.18,200,1
621,1000,12021.81,200,1
622,1000,12105.77,200,1
623,1000,13745.47,200,1
624,1000,14535.22,200,1
625,1000,12029.07,200,1
626,1000,12021.60,200,1
627,1000,12557.00,200,1
628,1000,12017.31,200,1
629,1000,11853.80,200,1
630,1000,12000.51,200,1
631,1000,12279.84,200,1
632,1000,11860.12,200,1
633,1000,12852.61,200,1
634,1000,11850.62,200,1
635,1000,12273.82,200,1
636,1000,12254.38,200,1
637,1000,12089.49,200,1
638,1000,234.70,EXCEPTION,0
639,1000,230.62,EXCEPTION,0
640,1000,19528.84,200,1
641,1000,13547.56,200,1
642,1000,12287.26,200,1
643,1000,12351.73,200,1
644,1000,12382.97,200,1
645,1000,14133.69,200,1
646,1000,12546.28,200,1
647,1000,15133.62,200,1
648,1000,13866.73,200,1
649,1000,14563.02,200,1
650,1000,14697.33,200,1
651,1000,14845.26,200,1
652,1000,13139.77,200,1
653,1000,12281.83,200,1
654,1000,12380.93,200,1
655,1000,14423.14,200,1
656,1000,12274.33,200,1
657,1000,15273.05,200,1
658,1000,20465.08,200,1
659,1000,14010.42,200,1
660,1000,15532.33,200,1
661,1000,14007.39,200,1
662,1000,13870.22,200,1
663,1000,14120.60,200,1
664,1000,13864.58,200,1
665,1000,14023.49,200,1
666,1000,13977.79,200,1
667,1000,14006.93,200,1
668,1000,13984.06,200,1
669,1000,14541.52,200,1
670,1000,14955.07,200,1
671,1000,13989.16,200,1
672,1000,15094.88,200,1
673,1000,14116.15,200,1
674,1000,14272.93,200,1
675,1000,14254.36,200,1
676,1000,14283.52,200,1
677,1000,14243.40,200,1
678,1000,14394.74,200,1
679,1000,15138.06,200,1
680,1000,14527.50,200,1
681,1000,20432.39,200,1
682,1000,17993.87,200,1
683,1000,226.73,EXCEPTION,0
684,1000,18167.76,200,1
685,1000,14248.44,200,1
686,1000,14389.79,200,1
687,1000,14291.71,200,1
688,1000,14681.47,200,1
689,1000,14283.67,200,1
690,1000,14805.52,200,1
691,1000,14840.46,200,1
692,1000,14683.35,200,1
693,1000,14823.08,200,1
694,1000,14571.63,200,1
695,1000,14799.44,200,1
696,1000,22033.17,200,1
697,1000,14810.64,200,1
698,1000,205.09,EXCEPTION,0
699,1000,223.27,EXCEPTION,0
700,1000,13180.54,200,1
701,1000,222.59,EXCEPTION,0
702,1000,216.38,EXCEPTION,0
703,1000,19451.85,200,1
704,1000,203.38,EXCEPTION,0
705,1000,291.69,EXCEPTION,0
706,1000,19525.57,200,1
707,1000,204.12,EXCEPTION,0
708,1000,20843.71,200,1
709,1000,206.69,EXCEPTION,0
710,1000,224.83,EXCEPTION,0
711,1000,204.64,EXCEPTION,0
712,1000,219.02,EXCEPTION,0
713,1000,24708.38,200,1
714,1000,287.31,EXCEPTION,0
715,1000,202.40,EXCEPTION,0
716,1000,17445.21,200,1
717,1000,17554.37,200,1
718,1000,217.38,EXCEPTION,0
719,1000,18808.17,200,1
720,1000,316.83,EXCEPTION,0
721,1000,204.37,EXCEPTION,0
722,1000,19214.39,200,1
723,1000,17865.74,200,1
724,1000,227.23,EXCEPTION,0
725,1000,291.96,EXCEPTION,0
726,1000,17838.43,200,1
727,1000,203.04,EXCEPTION,0
728,1000,204.21,EXCEPTION,0
729,1000,311.23,EXCEPTION,0
730,1000,216.17,EXCEPTION,0
731,1000,18572.74,200,1
732,1000,20234.82,200,1
733,1000,291.57,EXCEPTION,0
734,1000,29989.52,200,1
735,1000,18356.69,200,1
736,1000,296.97,EXCEPTION,0
737,1000,312.81,EXCEPTION,0
738,1000,221.87,EXCEPTION,0
739,1000,200.88,EXCEPTION,0
740,1000,20386.90,200,1
741,1000,18978.74,200,1
742,1000,207.74,EXCEPTION,0
743,1000,20648.19,200,1
744,1000,19067.30,200,1
745,1000,222.53,EXCEPTION,0
746,1000,284.49,EXCEPTION,0
747,1000,223.48,EXCEPTION,0
