seq,concurrency,latency_ms,status,ok
0,10,829.61,200,1
1,10,829.55,200,1
2,10,829.42,200,1
3,10,829.54,200,1
4,10,829.08,200,1
5,10,829.18,200,1
6,10,828.71,200,1
7,10,828.38,200,1
8,10,828.19,200,1
9,10,828.04,200,1
10,10,95.01,200,1
11,10,76.08,200,1
12,10,75.95,200,1
13,10,80.69,200,1
14,10,74.30,200,1
15,10,75.88,200,1
16,10,80.64,200,1
17,10,74.58,200,1
18,10,80.78,200,1
19,10,65.54,200,1
20,10,87.62,200,1
21,10,78.92,200,1
22,10,78.41,200,1
23,10,69.25,200,1
24,10,77.30,200,1
25,10,77.04,200,1
26,10,72.26,200,1
27,10,72.58,200,1
28,10,72.58,200,1
29,10,61.11,200,1
