seq,concurrency,latency_ms,status,ok
0,100,605.53,200,1
1,100,157.52,200,1
2,100,482.77,200,1
3,100,2028.70,200,1
4,100,576.66,200,1
5,100,457.34,200,1
6,100,1691.48,200,1
7,100,1475.86,200,1
8,100,1926.21,200,1
9,100,545.25,200,1
10,100,1065.03,200,1
11,100,788.36,200,1
12,100,1676.70,200,1
13,100,505.49,200,1
14,100,1176.20,200,1
15,100,1748.62,200,1
16,100,602.98,200,1
17,100,1527.42,200,1
18,100,360.51,200,1
19,100,500.94,200,1
20,100,173.46,200,1
21,100,1065.52,200,1
22,100,1560.98,200,1
23,100,1740.59,200,1
24,100,1464.76,200,1
25,100,1686.55,200,1
26,100,1936.73,200,1
27,100,1090.97,200,1
28,100,1687.87,200,1
29,100,1476.43,200,1
30,100,1596.52,200,1
31,100,1804.36,200,1
32,100,1506.16,200,1
33,100,1100.02,200,1
34,100,1505.25,200,1
35,100,1672.90,200,1
36,100,1137.25,200,1
37,100,1468.05,200,1
38,100,1230.22,200,1
39,100,1687.38,200,1
40,100,1879.06,200,1
41,100,2075.05,200,1
42,100,1466.23,200,1
43,100,2179.60,200,1
44,100,1543.89,200,1
45,100,1087.28,200,1
46,100,1196.23,200,1
47,100,1801.98,200,1
48,100,1688.78,200,1
49,100,1506.72,200,1
50,100,1291.06,200,1
51,100,2177.38,200,1
52,100,1735.87,200,1
53,100,1822.41,200,1
54,100,1685.34,200,1
55,100,1682.15,200,1
56,100,1120.22,200,1
57,100,1683.78,200,1
58,100,1746.51,200,1
59,100,1742.02,200,1
60,100,1158.24,200,1
61,100,1084.17,200,1
62,100,1747.36,200,1
63,100,1800.95,200,1
64,100,1739.99,200,1
65,100,2021.82,200,1
66,100,1669.54,200,1
67,100,1669.02,200,1
68,100,1501.03,200,1
69,100,1779.47,200,1
70,100,1875.43,200,1
71,100,1818.64,200,1
72,100,1821.42,200,1
73,100,2078.07,200,1
74,100,1874.95,200,1
75,100,1825.43,200,1
76,100,1846.09,200,1
77,100,1818.04,200,1
78,100,2019.22,200,1
79,100,1738.01,200,1
80,100,1733.42,200,1
81,100,1924.86,200,1
82,100,1849.13,200,1
83,100,1874.08,200,1
84,100,1679.43,200,1
85,100,2065.97,200,1
86,100,1844.79,200,1
87,100,1844.50,200,1
88,100,1680.56,200,1
89,100,1816.28,200,1
90,100,2017.40,200,1
91,100,1918.45,200,1
92,100,2017.80,200,1
93,100,1873.17,200,1
94,100,1678.17,200,1
95,100,2016.89,200,1
96,100,1915.27,200,1
97,100,1843.55,200,1
98,100,1915.07,200,1
99,100,2228.93,200,1
100,100,1586.91,200,1
101,100,1911.33,200,1
102,100,1668.71,200,1
103,100,1616.66,200,1
104,100,1548.41,200,1
105,100,1575.18,200,1
106,100,1566.12,200,1
107,100,1486.56,200,1
108,100,1510.29,200,1
109,100,1469.46,200,1
110,100,1427.84,200,1
111,100,1295.42,200,1
112,100,1132.97,200,1
113,100,1069.27,200,1
114,100,1093.81,200,1
115,100,1095.05,200,1
116,100,1089.01,200,1
117,100,1078.73,200,1
118,100,1071.46,200,1
119,100,1128.38,200,1
120,100,1099.43,200,1
121,100,1095.99,200,1
122,100,1069.08,200,1
123,100,1029.80,200,1
124,100,1001.47,200,1
125,100,814.23,200,1
126,100,798.99,200,1
127,100,814.46,200,1
128,100,796.85,200,1
129,100,790.93,200,1
130,100,766.94,200,1
131,100,761.29,200,1
132,100,776.96,200,1
133,100,760.02,200,1
134,100,766.18,200,1
135,100,737.95,200,1
136,100,731.11,200,1
137,100,686.40,200,1
138,100,715.79,200,1
139,100,743.33,200,1
140,100,716.38,200,1
141,100,619.18,200,1
142,100,618.57,200,1
143,100,780.79,200,1
144,100,748.94,200,1
145,100,708.75,200,1
146,100,687.48,200,1
147,100,729.68,200,1
148,100,773.63,200,1
149,100,796.77,200,1
150,100,770.36,200,1
151,100,750.74,200,1
152,100,725.48,200,1
153,100,911.90,200,1
154,100,721.87,200,1
155,100,865.49,200,1
156,100,693.69,200,1
157,100,910.24,200,1
158,100,696.53,200,1
159,100,688.46,200,1
160,100,719.91,200,1
161,100,2267.88,200,1
162,100,1866.44,200,1
163,100,832.33,200,1
164,100,798.30,200,1
165,100,1823.29,200,1
166,100,810.63,200,1
167,100,1803.62,200,1
168,100,781.39,200,1
169,100,782.32,200,1
170,100,790.75,200,1
171,100,783.89,200,1
172,100,785.91,200,1
173,100,756.62,200,1
174,100,753.81,200,1
175,100,813.05,200,1
176,100,803.17,200,1
177,100,799.57,200,1
178,100,725.46,200,1
179,100,771.07,200,1
180,100,768.89,200,1
181,100,773.86,200,1
182,100,772.94,200,1
183,100,731.34,200,1
184,100,728.02,200,1
185,100,730.34,200,1
186,100,727.83,200,1
187,100,726.03,200,1
188,100,720.28,200,1
189,100,740.71,200,1
190,100,765.87,200,1
191,100,700.07,200,1
192,100,738.24,200,1
193,100,765.02,200,1
194,100,697.91,200,1
195,100,698.37,200,1
196,100,697.89,200,1
197,100,733.75,200,1
198,100,733.54,200,1
199,100,721.71,200,1
200,100,1547.36,200,1
201,100,1548.22,200,1
202,100,693.75,200,1
203,100,695.51,200,1
204,100,712.92,200,1
205,100,1536.74,200,1
206,100,1536.43,200,1
207,100,1535.76,200,1
208,100,1535.18,200,1
209,100,1490.40,200,1
210,100,610.66,200,1
211,100,1447.82,200,1
212,100,1851.15,200,1
213,100,1436.75,200,1
214,100,1441.99,200,1
215,100,1443.03,200,1
216,100,1424.92,200,1
217,100,594.83,200,1
218,100,1382.31,200,1
219,100,1356.75,200,1
220,100,1355.90,200,1
221,100,1372.98,200,1
222,100,1360.36,200,1
223,100,1360.03,200,1
224,100,1351.19,200,1
225,100,1359.09,200,1
226,100,278.09,200,1
227,100,347.21,200,1
228,100,1370.02,200,1
229,100,1354.95,200,1
230,100,328.68,200,1
231,100,1334.56,200,1
232,100,1344.31,200,1
233,100,1334.59,200,1
234,100,1334.51,200,1
235,100,1327.01,200,1
236,100,1326.56,200,1
237,100,313.13,200,1
238,100,1331.48,200,1
239,100,1323.23,200,1
240,100,1265.39,200,1
241,100,1624.58,200,1
242,100,1228.27,200,1
243,100,1233.05,200,1
244,100,1200.87,200,1
245,100,1210.21,200,1
246,100,1210.96,200,1
247,100,1185.17,200,1
248,100,1193.33,200,1
249,100,1182.87,200,1
250,100,1188.23,200,1
251,100,1177.88,200,1
252,100,1558.67,200,1
253,100,1556.77,200,1
254,100,1555.67,200,1
255,100,1551.91,200,1
256,100,1554.92,200,1
257,100,1537.79,200,1
258,100,1473.50,200,1
259,100,1411.56,200,1
260,100,1423.40,200,1
261,100,1426.59,200,1
262,100,1408.12,200,1
263,100,1417.18,200,1
264,100,157.34,200,1
265,100,1424.34,200,1
266,100,1410.80,200,1
267,100,1412.91,200,1
268,100,1419.74,200,1
269,100,1415.57,200,1
270,100,1406.07,200,1
271,100,1414.88,200,1
272,100,1398.04,200,1
273,100,1414.64,200,1
274,100,1372.06,200,1
275,100,966.20,200,1
276,100,1503.20,200,1
277,100,1506.44,200,1
278,100,1377.32,200,1
279,100,1378.40,200,1
280,100,1376.94,200,1
281,100,1529.91,200,1
282,100,1529.62,200,1
283,100,1502.76,200,1
284,100,1376.07,200,1
285,100,1375.88,200,1
286,100,1500.07,200,1
287,100,1497.56,200,1
288,100,1471.79,200,1
289,100,1433.76,200,1
290,100,1666.38,200,1
291,100,1666.80,200,1
292,100,1454.85,200,1
293,100,1423.17,200,1
294,100,1396.28,200,1
295,100,1394.66,200,1
296,100,1419.45,200,1
297,100,1420.13,200,1
298,100,1410.15,200,1
299,100,1387.13,200,1
300,100,1395.29,200,1
301,100,1698.12,200,1
302,100,1697.89,200,1
303,100,1388.52,200,1
304,100,1385.31,200,1
305,100,1394.77,200,1
306,100,566.71,200,1
307,100,558.39,200,1
308,100,689.97,200,1
309,100,560.62,200,1
310,100,870.65,200,1
311,100,566.10,200,1
312,100,567.39,200,1
313,100,576.89,200,1
314,100,567.28,200,1
315,100,565.28,200,1
316,100,868.09,200,1
