seq,concurrency,latency_ms,status,ok
0,500,6059.76,200,1
100,500,1147.40,429,0
200,500,1187.82,429,0
300,500,1113.99,429,0
400,500,1226.44,429,0
500,500,1125.85,429,0
600,500,45.89,429,0
700,500,143.99,429,0
800,500,146.56,429,0
900,500,95.28,429,0
1000,500,102.80,429,0
1100,500,67.76,429,0
1200,500,106.36,429,0
1300,500,7542.46,200,1
1400,500,45.74,429,0
1500,500,332.06,429,0
1600,500,314.64,429,0
1700,500,348.63,429,0
1800,500,63.29,429,0
1900,500,217.40,429,0
2000,500,201.70,429,0
2100,500,180.75,429,0
2200,500,155.32,429,0
2300,500,151.67,429,0
2400,500,45.62,429,0
2500,500,50.66,429,0
2600,500,60.34,429,0
2700,500,117.76,429,0
2800,500,75.88,429,0
2900,500,42.63,429,0
3000,500,56.94,429,0
3100,500,126.72,429,0
3200,500,29.38,429,0
3300,500,27.55,429,0
3400,500,17.38,429,0
3500,500,94.42,429,0
3600,500,42.38,429,0
3700,500,22.28,429,0
3800,500,7.00,429,0
3900,500,285.82,429,0
4000,500,272.31,429,0
4100,500,235.58,429,0
4200,500,13.22,429,0
4300,500,9.74,429,0
4400,500,44.78,429,0
4500,500,14.47,429,0
4600,500,8.65,429,0
4700,500,10.19,429,0
4800,500,20.58,429,0
4900,500,21.75,429,0
5000,500,21.74,429,0
5100,500,65.98,429,0
5200,500,38.23,429,0
5300,500,24.43,429,0
5400,500,14.45,429,0
5500,500,18.30,429,0
5600,500,35.50,429,0
5700,500,68.79,429,0
5800,500,44.19,429,0
5900,500,23.57,429,0
6000,500,21.70,429,0
6100,500,21.17,429,0
6200,500,98.82,429,0
6300,500,75.71,429,0
6400,500,29.00,429,0
6500,500,84.78,429,0
6600,500,12.03,429,0
6700,500,108.89,429,0
6800,500,127.49,429,0
6900,500,28.38,429,0
7000,500,54.12,429,0
7100,500,17.87,429,0
7200,500,24.48,429,0
7300,500,24.13,429,0
7400,500,20.14,429,0
7500,500,30.17,429,0
7600,500,47.95,429,0
7700,500,23.77,429,0
7800,500,55.35,429,0
7900,500,61.60,429,0
8000,500,37.02,429,0
8100,500,33.60,429,0
8200,500,22.69,429,0
8300,500,22.33,429,0
8400,500,28.14,429,0
8500,500,24.39,429,0
8600,500,31.09,429,0
8700,500,12.06,429,0
8800,500,23.36,429,0
8900,500,16.19,429,0
9000,500,15.30,429,0
9100,500,8.57,429,0
9200,500,9.43,429,0
9300,500,29.23,429,0
9400,500,11.96,429,0
9500,500,11.57,429,0
9600,500,13.13,429,0
9700,500,10.68,429,0
9800,500,2.53,429,0
9900,500,17.36,429,0
10000,500,11.76,429,0
10100,500,6.87,429,0
10200,500,15.67,429,0
10300,500,7.63,429,0
10400,500,9.51,429,0
10500,500,36.81,429,0
10600,500,34.25,429,0
10700,500,16.47,429,0
10800,500,33.31,429,0
10900,500,149.62,429,0
11000,500,34.20,429,0
11100,500,14.23,429,0
11200,500,14.36,429,0
11300,500,13.33,429,0
11400,500,14.50,429,0
11500,500,22.73,429,0
11600,500,11.69,429,0
11700,500,13.57,429,0
11800,500,15.50,429,0
11900,500,9.12,429,0
